x,y,memory size,current data,data collecting rate (p/s)
97.5,278.4,6144,3072,6
546.8,957.5,6144,3072,6
964.8,157.6,6144,3072,6
970.5,957.1,6144,3072,6
485.3,800.2,6144,3072,6
141.8,421.7,6144,3072,6
915.7,792.2,6144,3072,6
959.4,655.7,6144,3072,6
35.7,849.1,6144,3072,6
933.9,678.7,6144,3072,6
757.7,743.1,6144,3072,6
392.2,655.4,6144,3072,6
171.1,706.0,6144,3072,6
31.8,276.9,6144,3072,6
46.1,97.1,6144,3072,6
823.4,694.8,6144,3072,6
317.0,950.2,6144,3072,6
34.4,438.7,6144,3072,6
381.5,765.5,6144,3072,6
795.1,186.8,6144,3072,6
489.7,445.5,6144,3072,6
646.3,709.3,6144,3072,6
754.6,276.0,6144,3072,6
679.7,655.0,6144,3072,6
162.6,118.9,6144,3072,6
498.3,959.7,6144,3072,6
340.3,585.2,6144,3072,6
223.8,751.2,6144,3072,6
255.0,505.9,6144,3072,6
699.0,890.9,6144,3072,6
959.2,547.2,6144,3072,6
138.6,149.2,6144,3072,6
257.5,840.7,6144,3072,6
254.2,814.2,6144,3072,6
243.5,929.2,6144,3072,6
349.9,196.5,6144,3072,6
251.0,616.0,6144,3072,6
473.2,351.6,6144,3072,6
830.8,585.2,6144,3072,6
549.7,917.1,6144,3072,6
285.8,757.2,6144,3072,6
753.7,380.4,6144,3072,6
567.8,75.8,6144,3072,6
53.9,530.7,6144,3072,6
779.1,934.0,6144,3072,6
129.9,568.8,6144,3072,6
469.3,11.9,6144,3072,6
337.1,162.1,6144,3072,6
794.2,311.2,6144,3072,6
528.5,165.6,6144,3072,6
601.9,262.9,6144,3072,6
654.0,689.2,6144,3072,6
748.1,450.5,6144,3072,6
83.8,228.9,6144,3072,6
913.3,152.3,6144,3072,6
825.8,538.3,6144,3072,6
996.1,78.1,6144,3072,6
442.6,106.6,6144,3072,6
961.8,4.6,6144,3072,6
774.9,817.3,6144,3072,6
868.6,84.4,6144,3072,6
399.7,259.8,6144,3072,6
800.0,431.4,6144,3072,6
910.6,181.8,6144,3072,6
263.8,145.5,6144,3072,6
136.0,869.2,6144,3072,6
579.7,549.8,6144,3072,6
144.9,853.0,6144,3072,6
622.0,350.9,6144,3072,6
513.2,401.8,6144,3072,6
75.9,239.9,6144,3072,6
123.3,183.9,6144,3072,6
239.9,417.2,6144,3072,6
49.6,902.7,6144,3072,6
944.7,490.8,6144,3072,6
489.2,337.7,6144,3072,6
900.0,369.2,6144,3072,6
111.2,780.2,6144,3072,6
389.7,241.6,6144,3072,6
403.9,96.4,6144,3072,6
131.9,942.0,6144,3072,6
956.1,575.2,6144,3072,6
59.7,234.7,6144,3072,6
353.1,821.1,6144,3072,6
15.4,43.0,6144,3072,6
168.9,649.1,6144,3072,6
731.7,647.7,6144,3072,6
450.9,547.0,6144,3072,6
296.3,744.6,6144,3072,6
188.9,686.7,6144,3072,6
183.5,368.4,6144,3072,6
625.6,780.2,6144,3072,6
81.1,929.3,6144,3072,6
775.7,486.7,6144,3072,6
435.8,446.7,6144,3072,6
306.3,508.5,6144,3072,6
510.7,817.6,6144,3072,6
794.8,644.3,6144,3072,6
378.6,811.5,6144,3072,6
532.8,350.7,6144,3072,6
