,source,data size,destination,created time (time step)
0,Sensor14,100,MobileSink1,1
1,Sensor84,100,MobileSink1,1
2,Sensor8,100,MobileSink2,1
3,Sensor65,100,MobileSink2,1
4,Sensor67,100,MobileSink2,1
5,Sensor73,100,MobileSink2,1
6,Sensor77,100,MobileSink2,1
7,Sensor80,100,MobileSink2,1
8,Sensor92,100,MobileSink2,1
9,Sensor0,100,MobileSink1,2
10,Sensor5,100,MobileSink1,2
11,Sensor13,100,MobileSink1,2
12,Sensor17,100,MobileSink1,2
13,Sensor43,100,MobileSink1,2
14,Sensor45,100,MobileSink1,2
15,Sensor53,100,MobileSink1,2
16,Sensor70,100,MobileSink1,2
17,Sensor82,100,MobileSink1,2
18,Sensor90,100,MobileSink1,2
19,Sensor11,100,MobileSink2,2
20,Sensor12,100,MobileSink2,2
21,Sensor18,100,MobileSink2,2
22,Sensor26,100,MobileSink2,2
23,Sensor27,100,MobileSink2,2
24,Sensor32,100,MobileSink2,2
25,Sensor33,100,MobileSink2,2
26,Sensor36,100,MobileSink2,2
27,Sensor40,100,MobileSink2,2
28,Sensor83,100,MobileSink2,2
29,Sensor85,100,MobileSink2,2
30,Sensor88,100,MobileSink2,2
31,Sensor89,100,MobileSink2,2
32,Sensor16,100,MobileSink1,3
33,Sensor34,100,MobileSink1,3
34,Sensor20,100,MobileSink2,3
35,Sensor35,100,MobileSink2,3
36,Sensor37,100,MobileSink2,3
37,Sensor47,100,MobileSink2,3
38,Sensor49,100,MobileSink2,3
39,Sensor50,100,MobileSink2,3
40,Sensor57,100,MobileSink2,3
41,Sensor61,100,MobileSink2,3
42,Sensor68,100,MobileSink2,3
43,Sensor69,100,MobileSink2,3
44,Sensor75,100,MobileSink2,3
45,Sensor78,100,MobileSink2,3
46,Sensor79,100,MobileSink2,3
47,Sensor94,100,MobileSink2,3
48,Sensor99,100,MobileSink2,3
49,Sensor19,100,MobileSink1,4
50,Sensor42,100,MobileSink1,4
51,Sensor54,100,MobileSink1,4
52,Sensor60,100,MobileSink1,4
53,Sensor1,100,MobileSink2,4
54,Sensor4,100,MobileSink2,4
55,Sensor10,100,MobileSink2,4
56,Sensor21,100,MobileSink2,4
57,Sensor23,100,MobileSink2,4
58,Sensor25,100,MobileSink2,4
59,Sensor29,100,MobileSink2,4
60,Sensor39,100,MobileSink2,4
61,Sensor44,100,MobileSink2,4
62,Sensor51,100,MobileSink2,4
63,Sensor59,100,MobileSink2,4
64,Sensor91,100,MobileSink2,4
65,Sensor96,100,MobileSink2,4
66,Sensor3,100,MobileSink1,5
67,Sensor6,100,MobileSink1,5
68,MobileSink1,2000,MobileSink2,5
69,MobileSink2,6800,BaseStation0,5
