,collected data size,memory size
0,0,100
1,0,100
2,100,100
3,0,100
4,0,100
5,0,100
6,0,100
7,100,100
8,0,100
9,100,100
10,0,100
11,0,100
12,0,100
13,0,100
14,0,100
15,100,100
16,0,100
17,0,100
18,0,100
19,0,100
20,0,100
21,0,100
22,100,100
23,0,100
24,100,100
25,0,100
26,0,100
27,0,100
28,100,100
29,0,100
30,100,100
31,100,100
32,0,100
33,0,100
34,0,100
35,0,100
36,0,100
37,0,100
38,100,100
39,0,100
40,0,100
41,100,100
42,0,100
43,0,100
44,0,100
45,0,100
46,100,100
47,0,100
48,100,100
49,0,100
50,0,100
51,0,100
52,100,100
53,0,100
54,0,100
55,100,100
56,100,100
57,0,100
58,100,100
59,0,100
60,0,100
61,0,100
62,100,100
63,100,100
64,100,100
65,0,100
66,100,100
67,0,100
68,0,100
69,0,100
70,0,100
71,100,100
72,100,100
73,0,100
74,100,100
75,0,100
76,100,100
77,0,100
78,0,100
79,0,100
80,0,100
81,100,100
82,0,100
83,0,100
84,0,100
85,0,100
86,100,100
87,100,100
88,0,100
89,0,100
90,0,100
91,0,100
92,0,100
93,100,100
94,0,100
95,100,100
96,0,100
97,100,100
98,100,100
99,0,100
